quibble,a slight criticism about a trivial matter; adverse comment; nitpicking
gauche,lacking ease or grace; unsophisticated and socially awkward; inelegant; ungainly
willy,"skilled at gaining an advantage, especially deceitfully; clever; shrewd, crafty"
sophistry,"the use of fallacious arguments, especially with the intention of deceiving; specious arguments; fallacious argument; sophism; casuistry"
agitated,feeling or appearing troubled or nervous; perturbed; flustered; unnerved; ruffled; rattled
quarantined,isolated
coy,"(especially with reference to a woman) making a pretense of shyness or modesty that is intended to be alluring; reluctant to give details, especially about something regarded as sensitive; arch; simpering; demure; modest"
hysterical,deriving from or affected by uncontrolled extreme emotion; overwrought; unrestrained; frenzied; (informal) extremely funny
recant,"say that one no longer holds an opinion or belief, especially one considered heretical; disavow; forswear; change one's mind; retract"
quandary,a state of perplexity or uncertainty over what to do in a difficult situation; a practical dilemma; impasse; stalemate
affront,an action or remark that causes outrage or offense; insult; offense; slight; snub; slur
endemic,(of a disease or social condition) found particularly in a specific area or group; (of a plant or animal) native and restricted to a certain place
abstract,consider (something) theoretically or separately from something else; extract or remove (something); used euphemistically to say that stolen something; (abstract oneself) withdraw
burnish,polish up; buff up; enhance or perfect (something such as a reputation or a skill)
disperse,break up; split up; dissipate; scatter; go into different direction
enmity,the state or feeling of being actively opposed or hostile to someone or something; animosity; antipathy; animus; feud; discord; acrimony
retiring,"shy and fond of being on one's own; diffident, shrinking; self-effacing; unassuming"
ravage,lay waste; devastate; leave in ruins; wreak havoc on; leave desolate; pillage
inchoate,beginning; rudimentary; confused or incoherent
impudent,not showing due respect for another person; impertinent; brazen; cheeky; presumptuous
redoubtable,"(of a person) formidable, especially as an opponent; fearsome; awe-inspiring"
shrill,high-pitched; piercing; screeching
deprecate,express disapproval of; frown on; object to
disdain,scorn; deride; regard with contempt; sneer at; spurn; rebuff
quash,"reject or void, especially by legal procedure; cancel; rescind; suppress; put to an end; stamp out"
distend,swell or cause to swell by pressure from inside; bulge; enlarge; puff out/up; blow up/out
penchant,liking; fondness; preference; inclination; bent; predilection; proclivity
abeyance,((PHRASES)hold something in abeyance) - a state of suspension; a state of dormancy; a state of latency; pending; deferred; put off; postponed
august,respected and impressive; distinguished; eminent; venerable; hallowed; illustrious; esteemed; exalted; of distinction; of repute; aristocratic; imposing
substantiate,"prove; show to be true; give substance to; support; justify; vindicate; corroborate; endorse; give credence to; vouch for, attest to"
