cumbersome,"unwieldy, unmanageable, complicated"
unprecedented,never done or known before
stinting,supply ungenerous or inadequate amount of something
extrapolate,estimate or conclude something by extrapolating
liability,state of being responsible/ a person whose presence or behavior likely to put one at a disadvantage
euphoric,characterized by feeling intense excitement
elementary,most basic kind/ straightforward and uncomplicated
heterodox,not conforming with accepted or orthodox standards or beliefs
fervent,having or displaying a passionate intensity
gaffe,an unintentional act or remark causing embarrassment
temper,act as a neutralizing or counterbalancing force to something
painstaking,done with or employing great care and thoroughness
economy,careful management and available resources
qualm,"uneasy feeling of doubt/ misgiving, doubt"
exonerate,absolve from blame for wrongdoing/ release from duty
implicit,suggested though not directed expressed expressed/ always to be found in/ absolute
phlegmatic,unemotional and stolidly calm disposition/ self-controlled
propensity,natural tendency to behave in a particular way
foment,instigate or stir up
embellish,decorate/ make more interesting by adding extra details
inviolate,free or safe from injury or violation
renege,"go back on a promise, undertaking, or contact"
arresting,eye-catching /seize/ attract the attention/ stop or check
obstinate,very difficult to change or overcome
vivacious,attractively lively and animated
histrionic,dramatic behavior designed to attract attention
prodigious,remarkably great in extent size or degree
tentative,"provisional/ not certain or fixed, hesitant"
falter,lose strength or momentum/ move hesitantly
chastise,"rebuke or reprimand severely, punish"
